mode,gpus,gpus_per_node,util,algo,dvfs_on,theta,aver_run_E,min_run_E,max_run_E,aver_idle_E,min_idle_E,max_idle_E,aver_turnon_E,min_turnon_E,max_turnon_E,aver_total_E,min_total_E,max_total_E,turnon
offline,2048,1,0.2,edf+bf,0,1.0,11957974.071424,11770957.887869,12144990.254979,0.0,0.0,0.0,25560.0,25012.445859,26107.554141,11983534.071424,11796246.636988,12170821.505859,127.8
offline,2048,1,0.2,edf+bf,1,1.0,7925030.487875,7795384.677048,8054676.298701,0.0,0.0,0.0,31160.0,30196.604671,32123.395329,7956190.487875,7826124.782281,8086256.193468,155.8
offline,2048,1,0.2,edf+spt,0,1.0,11957974.071424,11770957.887869,12144990.254979,0.0,0.0,0.0,30180.0,29669.061587,30690.938413,11988154.071424,11800841.099419,12175467.043428,150.9
offline,2048,1,0.2,edf+spt,1,1.0,7925030.487875,7795384.677048,8054676.298701,0.0,0.0,0.0,36840.0,36227.676425,37452.323575,7961870.487875,7831936.706811,8091804.268938,184.2
offline,2048,1,0.2,edf+wf,0,1.0,11957974.071424,11770957.887869,12144990.254979,0.0,0.0,0.0,25440.0,24756.524646,26123.475354,11983414.071424,11796220.097105,12170608.045743,127.2
offline,2048,1,0.2,edf+wf,1,1.0,7925030.487875,7795384.677048,8054676.298701,0.0,0.0,0.0,31340.0,30540.794127,32139.205873,7956370.487875,7826487.337172,8086253.638577,156.7
offline,2048,1,0.2,lpt+ff,0,1.0,11957974.071424,11770957.887869,12144990.254979,0.0,0.0,0.0,41340.0,40331.155169,42348.844831,11999314.071424,11812076.185471,12186551.957377,206.7
offline,2048,1,0.2,lpt+ff,1,1.0,7925030.487875,7795384.677048,8054676.298701,0.0,0.0,0.0,50560.0,48978.123623,52141.876377,7975590.487875,7845408.448187,8105772.527563,252.8
offline,2048,1,0.4,edf+bf,0,1.0,23868594.352803,23618781.690555,24118407.015051,0.0,0.0,0.0,50100.0,48211.651915,51988.348085,23918694.352803,23668607.382601,24168781.323005,250.5
offline,2048,1,0.4,edf+bf,1,1.0,15835757.442813,15640381.141923,16031133.743703,0.0,0.0,0.0,62400.0,60844.023879,63955.976121,15898157.442813,15702506.823045,16093808.062581,312.0
offline,2048,1,0.4,edf+spt,0,1.0,23868594.352803,23618781.690555,24118407.015051,0.0,0.0,0.0,59740.0,58336.260461,61143.739539,23928334.352803,23677961.178547,24178707.527059,298.7
offline,2048,1,0.4,edf+spt,1,1.0,15835757.442813,15640381.141923,16031133.743703,0.0,0.0,0.0,73260.0,71945.45177,74574.54823,15909017.442813,15712984.312059,16105050.573567,366.3
offline,2048,1,0.4,edf+wf,0,1.0,23868594.352803,23618781.690555,24118407.015051,0.0,0.0,0.0,50500.0,48877.153666,52122.846334,23919094.352803,23669152.903815,24169035.801791,252.5
offline,2048,1,0.4,edf+wf,1,1.0,15835757.442813,15640381.141923,16031133.743703,0.0,0.0,0.0,62620.0,61241.544078,63998.455922,15898377.442813,15702772.989478,16093981.896148,313.1
offline,2048,1,0.4,lpt+ff,0,1.0,23868594.352803,23618781.690555,24118407.015051,0.0,0.0,0.0,82840.0,80146.998357,85533.001643,23951434.352803,23699975.783581,24202892.922025,414.2
offline,2048,1,0.4,lpt+ff,1,1.0,15835757.442813,15640381.141923,16031133.743703,0.0,0.0,0.0,103180.0,100876.816981,105483.183019,15938937.442813,15741909.03589,16135965.849736,515.9
offline,2048,1,0.6,edf+bf,0,1.0,36359885.705573,36137837.268695,36581934.142451,0.0,0.0,0.0,74720.0,73270.600946,76169.399054,36434605.705573,36212941.707089,36656269.704058,373.6
offline,2048,1,0.6,edf+bf,1,1.0,24171533.714692,24048815.493259,24294251.936124,0.0,0.0,0.0,93820.0,91389.143412,96250.856588,24265353.714692,24141443.551911,24389263.877472,469.1
offline,2048,1,0.6,edf+spt,0,1.0,36359885.705573,36137837.268695,36581934.142451,0.0,0.0,0.0,90580.0,89636.93421,91523.06579,36450465.705573,36228084.389451,36672847.021696,452.9
offline,2048,1,0.6,edf+spt,1,1.0,24171533.714692,24048815.493259,24294251.936124,0.0,0.0,0.0,110920.0,109726.418826,112113.581174,24282453.714692,24159111.845476,24405795.583908,554.6
offline,2048,1,0.6,edf+wf,0,1.0,36359885.705573,36137837.268695,36581934.142451,0.0,0.0,0.0,75960.0,75040.121515,76879.878485,36435845.705573,36214058.643325,36657632.767821,379.8
offline,2048,1,0.6,edf+wf,1,1.0,24171533.714692,24048815.493259,24294251.936124,0.0,0.0,0.0,94400.0,92447.855743,96352.144257,24265933.714692,24142247.519902,24389619.909482,472.0
offline,2048,1,0.6,lpt+ff,0,1.0,36359885.705573,36137837.268695,36581934.142451,0.0,0.0,0.0,123640.0,121418.05185,125861.94815,36483525.705573,36261689.999963,36705361.411183,618.2
offline,2048,1,0.6,lpt+ff,1,1.0,24171533.714692,24048815.493259,24294251.936124,0.0,0.0,0.0,153860.0,151536.446843,156183.553157,24325393.714692,24202550.332678,24448237.096705,769.3
offline,2048,1,0.8,edf+bf,0,1.0,48409646.112965,48039191.858342,48780100.367588,0.0,0.0,0.0,99960.0,98513.430885,101406.569115,48509606.112965,48139428.902294,48879783.323637,499.8
offline,2048,1,0.8,edf+bf,1,1.0,32165212.898475,31906320.217551,32424105.5794,0.0,0.0,0.0,122920.0,120915.895341,124924.104659,32288132.898475,32030146.66003,32546119.136921,614.6
offline,2048,1,0.8,edf+spt,0,1.0,48409646.112965,48039191.858342,48780100.367588,0.0,0.0,0.0,120600.0,119463.876063,121736.123937,48530246.112965,48160334.483831,48900157.742099,603.0
offline,2048,1,0.8,edf+spt,1,1.0,32165212.898475,31906320.217551,32424105.5794,0.0,0.0,0.0,147840.0,146237.747452,149442.252548,32313052.898475,32054884.472707,32571221.324243,739.2
offline,2048,1,0.8,edf+wf,0,1.0,48409646.112965,48039191.858342,48780100.367588,0.0,0.0,0.0,101300.0,99882.703293,102717.296707,48510946.112965,48140938.842408,48880953.383522,506.5
offline,2048,1,0.8,edf+wf,1,1.0,32165212.898475,31906320.217551,32424105.5794,0.0,0.0,0.0,124000.0,122227.551098,125772.448902,32289212.898475,32031034.171471,32547391.62548,620.0
offline,2048,1,0.8,lpt+ff,0,1.0,48409646.112965,48039191.858342,48780100.367588,0.0,0.0,0.0,164200.0,161499.906833,166900.093167,48573846.112965,48204096.189155,48943596.036776,821.0
offline,2048,1,0.8,lpt+ff,1,1.0,32165212.898475,31906320.217551,32424105.5794,0.0,0.0,0.0,203640.0,201294.688027,205985.311973,32368852.898475,32110746.775363,32626959.021587,1018.2
offline,2048,1,1.0,edf+bf,0,1.0,60359426.968183,59924110.581111,60794743.355255,0.0,0.0,0.0,123740.0,121629.783902,125850.216098,60483166.968183,60046218.870163,60920115.066203,618.7
offline,2048,1,1.0,edf+bf,1,1.0,40089900.936642,39787382.634082,40392419.239201,0.0,0.0,0.0,153340.0,151293.866806,155386.133194,40243240.936642,39939535.919149,40546945.954134,766.7
offline,2048,1,1.0,edf+spt,0,1.0,60359426.968183,59924110.581111,60794743.355255,0.0,0.0,0.0,150920.0,149812.489189,152027.510811,60510346.968183,60074747.085892,60945946.850474,754.6
offline,2048,1,1.0,edf+spt,1,1.0,40089900.936642,39787382.634082,40392419.239201,0.0,0.0,0.0,185120.0,183588.131854,186651.868146,40275020.936642,39972034.899228,40578006.974055,925.6
offline,2048,1,1.0,edf+wf,0,1.0,60359426.968183,59924110.581111,60794743.355255,0.0,0.0,0.0,124900.0,123343.749577,126456.250423,60484326.968183,60048345.569183,60920308.367183,624.5
offline,2048,1,1.0,edf+wf,1,1.0,40089900.936642,39787382.634082,40392419.239201,0.0,0.0,0.0,154280.0,152440.243031,156119.756969,40244180.936642,39940773.00158,40547588.871703,771.4
offline,2048,1,1.0,lpt+ff,0,1.0,60359426.968183,59924110.581111,60794743.355255,0.0,0.0,0.0,204920.0,202110.089362,207729.910638,60564346.968183,60128400.714705,61000293.221661,1024.6
offline,2048,1,1.0,lpt+ff,1,1.0,40089900.936642,39787382.634082,40392419.239201,0.0,0.0,0.0,255240.0,251664.02788,258815.97212,40345140.936642,40041022.033699,40649259.839584,1276.2
offline,2048,1,1.2,edf+bf,0,1.0,72401346.963532,71843456.622063,72959237.305,0.0,0.0,0.0,149620.0,148126.222233,151113.777767,72550966.963532,71992659.816656,73109274.110407,748.1
offline,2048,1,1.2,edf+bf,1,1.0,47995858.388909,47626172.055923,48365544.721894,0.0,0.0,0.0,184180.0,181274.935867,187085.064133,48180038.388909,47811146.25833,48548930.519488,920.9
offline,2048,1,1.2,edf+spt,0,1.0,72401346.963532,71843456.622063,72959237.305,0.0,0.0,0.0,181400.0,179661.593066,183138.406934,72582746.963532,72024409.797381,73141084.129682,907.0
offline,2048,1,1.2,edf+spt,1,1.0,47995858.388909,47626172.055923,48365544.721894,0.0,0.0,0.0,221860.0,219668.030154,224051.969846,48217718.388909,47848242.910501,48587193.867317,1109.3
offline,2048,1,1.2,edf+wf,0,1.0,72401346.963532,71843456.622063,72959237.305001,0.0,0.0,0.0,150540.0,148632.938018,152447.061982,72551886.963532,71993354.482598,73110419.444466,752.7
offline,2048,1,1.2,edf+wf,1,1.0,47995858.388909,47626172.055923,48365544.721894,0.0,0.0,0.0,185120.0,182546.032493,187693.967507,48180978.388909,47811904.648259,48550052.129559,925.6
offline,2048,1,1.2,lpt+ff,0,1.0,72401346.963532,71843456.622063,72959237.305,0.0,0.0,0.0,247080.0,244071.14641,250088.85359,72648426.963532,72090841.72375,73206012.203314,1235.4
offline,2048,1,1.2,lpt+ff,1,1.0,47995858.388909,47626172.055923,48365544.721894,0.0,0.0,0.0,306740.0,303772.370421,309707.629579,48302598.388909,47933607.130643,48671589.647174,1533.7
offline,2048,1,1.4,edf+bf,0,1.0,84815181.830932,84316860.423353,85313503.238511,0.0,0.0,0.0,173960.0,170831.740664,177088.259336,84989141.830932,84491424.731282,85486858.930581,869.8
offline,2048,1,1.4,edf+bf,1,1.0,56315627.111963,55995251.086065,56636003.137861,0.0,0.0,0.0,216000.0,212771.184627,219228.815373,56531627.111963,56212280.563978,56850973.659947,1080.0
offline,2048,1,1.4,edf+spt,0,1.0,84815181.830932,84316860.423353,85313503.238511,0.0,0.0,0.0,212720.0,209979.611265,215460.388735,85027901.830932,84530372.814977,85525430.846887,1063.6
offline,2048,1,1.4,edf+spt,1,1.0,56315627.111963,55995251.086065,56636003.137861,0.0,0.0,0.0,260940.0,257550.188326,264329.811674,56576567.111963,56257768.661409,56895365.562516,1304.7
offline,2048,1,1.4,edf+wf,0,1.0,84815181.830932,84316860.423353,85313503.238511,0.0,0.0,0.0,174740.0,171980.457352,177499.542648,84989921.830932,84492741.545217,85487102.116647,873.7
offline,2048,1,1.4,edf+wf,1,1.0,56315627.111963,55995251.086065,56636003.137861,0.0,0.0,0.0,216900.0,213698.666667,220101.333333,56532527.111963,56213070.624484,56851983.599442,1084.5
offline,2048,1,1.4,lpt+ff,0,1.0,84815181.830932,84316860.423353,85313503.238511,0.0,0.0,0.0,289960.0,286395.026336,293524.973664,85105141.830932,84608103.07152,85602180.590344,1449.8
offline,2048,1,1.4,lpt+ff,1,1.0,56315627.111963,55995251.086065,56636003.137861,0.0,0.0,0.0,359020.0,355741.620465,362298.379535,56674647.111963,56355836.548753,56993457.675173,1795.1
offline,2048,1,1.6,edf+bf,0,1.0,96978108.496336,96491692.556379,97464524.436293,0.0,0.0,0.0,198160.0,195275.372409,201044.627591,97176268.496336,96689791.833091,97662745.159581,990.8
offline,2048,1,1.6,edf+bf,1,1.0,64407673.850722,64061648.201751,64753699.499694,0.0,0.0,0.0,247240.0,243852.833675,250627.166325,64654913.850722,64310765.22834,64999062.473105,1236.2
offline,2048,1,1.6,edf+spt,0,1.0,96978108.496336,96491692.556379,97464524.436292,0.0,0.0,0.0,243700.0,241778.48902,245621.51098,97221808.496336,96736046.199194,97707570.793477,1218.5
offline,2048,1,1.6,edf+spt,1,1.0,64407673.850722,64061648.20175,64753699.499694,0.0,0.0,0.0,298560.0,296193.670319,300926.329681,64706233.850722,64360723.215252,65051744.486193,1492.8
offline,2048,1,1.6,edf+wf,0,1.0,96978108.496336,96491692.556379,97464524.436292,0.0,0.0,0.0,200020.0,196521.913981,203518.086019,97178128.496336,96692517.403686,97663739.588986,1000.1
offline,2048,1,1.6,edf+wf,1,1.0,64407673.850722,64061648.201751,64753699.499694,0.0,0.0,0.0,248580.0,245453.023538,251706.976462,64656253.850722,64311725.057733,65000782.643712,1242.9
offline,2048,1,1.6,lpt+ff,0,1.0,96978108.496336,96491692.556379,97464524.436292,0.0,0.0,0.0,334080.0,329483.132553,338676.867447,97312188.496336,96826943.771883,97797433.220788,1670.4
offline,2048,1,1.6,lpt+ff,1,1.0,64407673.850722,64061648.201751,64753699.499694,0.0,0.0,0.0,416040.0,412403.426707,419676.573293,64823713.850722,64477675.062224,65169752.63922,2080.2
